# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.295796658105940607e-04 8.325469944977723080e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.194096274965464888e-01 1.710347445464448723e+00 6.295796658105940607e-04 8.325469944977723080e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.194096274965464888e-01 1.710347445464448723e+00
3.500000000000000000e+02 3.306371018431263683e-03 3.181530494011646643e-02 1.334793540327518864e-05 1.392996666806493346e-03 1.152090124352677519e-02 1.397723810340273029e-02 3.306371018431263683e-03 3.181530494011646643e-02 1.334793540327518864e-05 1.392996666806493346e-03 1.152090124352677519e-02 1.397723810340273029e-02
7.000000000000000000e+02 2.201417270097808920e-03 3.523524277627398255e-02 6.906744822272344644e-07 1.187428104722251842e-03 9.798545516720973819e-04 9.442782624361264338e-03 2.201417270097808920e-03 3.523524277627398255e-02 6.906744822272344644e-07 1.187428104722251842e-03 9.798545516720973819e-04 9.442782624361264338e-03
1.050000000000000000e+03 1.800339202375631853e-03 3.552528302980406671e-02 1.793811282129236667e-11 1.326076423671141823e-03 6.795270871162898503e-04 8.339507709569173727e-03 1.800339202375631853e-03 3.552528302980406671e-02 1.793811282129236667e-11 1.326076423671141823e-03 6.795270871162898503e-04 8.339507709569173727e-03
1.400000000000000000e+03 1.724618103961824420e-03 3.569309072603831651e-02 8.712180828649440473e-09 1.376863373546515206e-03 6.841246556470553493e-04 8.045266199362369197e-03 1.724618103961824420e-03 3.569309072603831651e-02 8.712180828649440473e-09 1.376863373546515206e-03 6.841246556470553493e-04 8.045266199362369197e-03
1.750000000000000000e+03 1.686038990052088436e-03 3.579070221458566237e-02 6.147479950521621270e-09 1.396079499789640386e-03 6.692527026824402923e-04 7.906174766103345880e-03 1.686038990052088436e-03 3.579070221458566237e-02 6.147479950521621270e-09 1.396079499789640386e-03 6.692527026824402923e-04 7.906174766103345880e-03
2.100000000000000000e+03 1.659920708294081431e-03 3.585761867511016998e-02 3.815794575968414592e-09 1.405189143233386354e-03 6.542962643366009596e-04 7.820950376395944051e-03 1.659920708294081431e-03 3.585761867511016998e-02 3.815794575968414592e-09 1.405189143233386354e-03 6.542962643366009596e-04 7.820950376395944051e-03
2.450000000000000000e+03 1.640738152321881546e-03 3.590296656707633871e-02 2.131196036660434447e-09 1.408559996322435127e-03 6.431379076070094106e-04 7.766783229068112762e-03 1.640738152321881546e-03 3.590296656707633871e-02 2.131196036660434447e-09 1.408559996322435127e-03 6.431379076070094106e-04 7.766783229068112762e-03
2.800000000000000000e+03 1.626185132204353628e-03 3.593398307581718853e-02 1.058644963641185514e-09 1.408757536496365193e-03 6.351948985594544402e-04 7.731470693485027919e-03 1.626185132204353628e-03 3.593398307581718853e-02 1.058644963641185514e-09 1.408757536496365193e-03 6.351948985594544402e-04 7.731470693485027919e-03
3.150000000000000000e+03 1.614916125874784432e-03 3.595681283938761269e-02 4.928841341385332398e-10 1.407635217388794211e-03 6.294062665432066661e-04 7.706738621372820688e-03 1.614916125874784432e-03 3.595681283938761269e-02 4.928841341385332398e-10 1.407635217388794211e-03 6.294062665432066661e-04 7.706738621372820688e-03
