20500 [1.18e-01, -1.37e-02, 1.91e-01, 5.69e-02, 2.73e-01, 1.66e-01, 3.07e-01, 2.45e-01]
21000 [1.18e-01, -1.38e-02, 1.91e-01, 5.68e-02, 2.73e-01, 1.66e-01, 3.07e-01, 2.45e-01]
21500 [1.18e-01, -1.38e-02, 1.91e-01, 5.68e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
22000 [1.18e-01, -1.39e-02, 1.91e-01, 5.68e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
22500 [1.18e-01, -1.39e-02, 1.91e-01, 5.67e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.45e-01]
23000 [1.18e-01, -1.39e-02, 1.91e-01, 5.67e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
23500 [1.18e-01, -1.39e-02, 1.91e-01, 5.67e-02, 2.73e-01, 1.65e-01, 3.07e-01, 2.44e-01]
24000 [1.18e-01, -1.40e-02, 1.91e-01, 5.67e-02, 2.73e-01, 1.65e-01, 3.06e-01, 2.44e-01]
24500 [1.18e-01, -1.36e-02, 1.91e-01, 5.69e-02, 2.72e-01, 1.65e-01, 3.05e-01, 2.43e-01]
25000 [1.22e-01, -6.80e-03, 1.99e-01, 6.44e-02, 2.74e-01, 1.65e-01, 2.82e-01, 2.17e-01]
25500 [1.22e-01, -7.91e-03, 2.02e-01, 6.82e-02, 2.90e-01, 1.81e-01, 2.92e-01, 2.26e-01]
26000 [1.22e-01, -7.62e-03, 2.04e-01, 7.00e-02, 2.96e-01, 1.87e-01, 2.98e-01, 2.33e-01]
26500 [1.22e-01, -7.59e-03, 2.04e-01, 7.05e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
27000 [1.22e-01, -7.68e-03, 2.04e-01, 7.05e-02, 2.97e-01, 1.89e-01, 3.00e-01, 2.35e-01]
27500 [1.22e-01, -7.79e-03, 2.04e-01, 7.05e-02, 2.97e-01, 1.89e-01, 3.01e-01, 2.36e-01]
28000 [1.22e-01, -7.88e-03, 2.04e-01, 7.04e-02, 2.97e-01, 1.89e-01, 3.01e-01, 2.36e-01]
28500 [1.22e-01, -7.96e-03, 2.04e-01, 7.03e-02, 2.97e-01, 1.89e-01, 3.01e-01, 2.35e-01]
29000 [1.22e-01, -8.07e-03, 2.04e-01, 7.03e-02, 2.97e-01, 1.89e-01, 3.01e-01, 2.35e-01]
29500 [1.22e-01, -8.08e-03, 2.04e-01, 7.02e-02, 2.97e-01, 1.89e-01, 3.01e-01, 2.35e-01]
30000 [1.22e-01, -8.11e-03, 2.04e-01, 7.02e-02, 2.97e-01, 1.89e-01, 3.01e-01, 2.35e-01]
30500 [1.22e-01, -8.14e-03, 2.04e-01, 7.01e-02, 2.97e-01, 1.89e-01, 3.01e-01, 2.35e-01]
31000 [1.22e-01, -8.17e-03, 2.04e-01, 7.01e-02, 2.97e-01, 1.89e-01, 3.00e-01, 2.35e-01]
31500 [1.22e-01, -8.19e-03, 2.04e-01, 7.01e-02, 2.97e-01, 1.89e-01, 3.00e-01, 2.35e-01]
32000 [1.22e-01, -8.21e-03, 2.04e-01, 7.01e-02, 2.97e-01, 1.89e-01, 3.00e-01, 2.35e-01]
32500 [1.22e-01, -8.23e-03, 2.04e-01, 7.00e-02, 2.97e-01, 1.89e-01, 3.00e-01, 2.35e-01]
33000 [1.22e-01, -8.25e-03, 2.04e-01, 7.00e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
33500 [1.22e-01, -8.27e-03, 2.04e-01, 7.00e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
34000 [1.22e-01, -8.29e-03, 2.04e-01, 7.00e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
34500 [1.22e-01, -8.31e-03, 2.04e-01, 7.00e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
35000 [1.22e-01, -8.32e-03, 2.04e-01, 6.99e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
35500 [1.22e-01, -8.34e-03, 2.04e-01, 6.99e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
36000 [1.22e-01, -8.35e-03, 2.04e-01, 6.99e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
36500 [1.22e-01, -8.37e-03, 2.04e-01, 6.99e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
37000 [1.22e-01, -8.39e-03, 2.04e-01, 6.99e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
37500 [1.22e-01, -8.40e-03, 2.04e-01, 6.99e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
38000 [1.22e-01, -8.41e-03, 2.04e-01, 6.99e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
38500 [1.22e-01, -8.43e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
39000 [1.22e-01, -8.44e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
39500 [1.22e-01, -8.45e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
40000 [1.22e-01, -8.43e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
40500 [1.22e-01, -8.48e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
41000 [1.22e-01, -8.48e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
41500 [1.22e-01, -8.49e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
42000 [1.22e-01, -8.50e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
42500 [1.22e-01, -8.50e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
43000 [1.22e-01, -8.51e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
