0 [0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00]
350 [8.42e-02, 1.46e-02, 1.13e-01, 1.36e-01]
700 [1.04e-01, 4.96e-02, 1.38e-01, 1.64e-01]
1050 [1.07e-01, 5.63e-02, 1.72e-01, 1.79e-01]
1400 [1.08e-01, 5.75e-02, 2.14e-01, 1.90e-01]
1750 [1.12e-01, 6.63e-02, 2.64e-01, 2.18e-01]
2100 [1.14e-01, 6.94e-02, 3.04e-01, 2.31e-01]
2450 [1.16e-01, 7.26e-02, 3.57e-01, 2.56e-01]
2800 [1.19e-01, 7.80e-02, 4.05e-01, 2.78e-01]
3150 [1.20e-01, 8.00e-02, 4.53e-01, 2.96e-01]
3500 [1.23e-01, 8.44e-02, 4.97e-01, 3.20e-01]
3850 [1.23e-01, 8.60e-02, 5.43e-01, 3.41e-01]
4200 [1.25e-01, 8.90e-02, 5.87e-01, 3.64e-01]
4550 [1.26e-01, 9.09e-02, 6.27e-01, 3.84e-01]
4900 [1.26e-01, 9.11e-02, 6.64e-01, 4.02e-01]
5250 [1.28e-01, 9.43e-02, 7.03e-01, 4.23e-01]
5600 [1.29e-01, 9.58e-02, 7.38e-01, 4.43e-01]
5950 [1.30e-01, 9.69e-02, 7.72e-01, 4.61e-01]
6300 [1.31e-01, 9.83e-02, 8.05e-01, 4.80e-01]
6650 [1.31e-01, 9.87e-02, 8.36e-01, 4.98e-01]
7000 [1.32e-01, 1.00e-01, 8.67e-01, 5.15e-01]
7350 [1.32e-01, 1.01e-01, 8.95e-01, 5.32e-01]
7700 [1.33e-01, 1.01e-01, 9.21e-01, 5.47e-01]
8050 [1.33e-01, 1.02e-01, 9.47e-01, 5.63e-01]
8400 [1.34e-01, 1.03e-01, 9.73e-01, 5.78e-01]
8750 [1.18e-01, 7.58e-02, 9.43e-01, 5.43e-01]
9100 [1.25e-01, 8.86e-02, 9.45e-01, 5.45e-01]
9450 [1.29e-01, 9.61e-02, 9.47e-01, 5.46e-01]
9800 [1.32e-01, 1.00e-01, 9.50e-01, 5.48e-01]
10150 [1.33e-01, 1.03e-01, 9.54e-01, 5.50e-01]
10500 [1.34e-01, 1.04e-01, 9.58e-01, 5.52e-01]
10850 [1.34e-01, 1.04e-01, 9.64e-01, 5.55e-01]
11200 [1.34e-01, 1.04e-01, 9.70e-01, 5.59e-01]
11550 [1.34e-01, 1.04e-01, 9.78e-01, 5.63e-01]
11900 [1.33e-01, 1.03e-01, 9.85e-01, 5.68e-01]
12250 [1.34e-01, 1.04e-01, 9.96e-01, 5.73e-01]
12600 [1.34e-01, 1.03e-01, 1.00e+00, 5.79e-01]
12950 [1.33e-01, 1.02e-01, 1.01e+00, 5.86e-01]
13300 [1.34e-01, 1.04e-01, 1.03e+00, 5.94e-01]
13650 [1.34e-01, 1.04e-01, 1.04e+00, 6.03e-01]
14000 [1.35e-01, 1.05e-01, 1.05e+00, 6.12e-01]
14350 [1.35e-01, 1.05e-01, 1.06e+00, 6.21e-01]
14700 [1.35e-01, 1.05e-01, 1.08e+00, 6.32e-01]
15050 [1.35e-01, 1.05e-01, 1.09e+00, 6.43e-01]
15400 [1.35e-01, 1.05e-01, 1.11e+00, 6.54e-01]
15750 [1.36e-01, 1.06e-01, 1.12e+00, 6.65e-01]
16100 [1.36e-01, 1.07e-01, 1.14e+00, 6.76e-01]
16450 [1.36e-01, 1.07e-01, 1.15e+00, 6.86e-01]
16800 [1.36e-01, 1.07e-01, 1.16e+00, 6.96e-01]
17150 [1.37e-01, 1.07e-01, 1.18e+00, 7.07e-01]
