0 [1.00e+01]
100 [9.90e+00]
200 [9.86e+00]
300 [9.84e+00]
400 [9.82e+00]
500 [9.80e+00]
600 [9.78e+00]
700 [9.76e+00]
800 [9.75e+00]
900 [9.73e+00]
1000 [9.71e+00]
1100 [9.69e+00]
1200 [9.67e+00]
1300 [9.65e+00]
1400 [9.62e+00]
1500 [9.60e+00]
1600 [9.58e+00]
1700 [9.56e+00]
1800 [9.53e+00]
1900 [9.51e+00]
2000 [9.49e+00]
2100 [9.46e+00]
2200 [9.44e+00]
2300 [9.41e+00]
2400 [9.39e+00]
2500 [9.36e+00]
2600 [9.33e+00]
2700 [9.31e+00]
2800 [9.28e+00]
2900 [9.25e+00]
3000 [9.22e+00]
3100 [9.19e+00]
3200 [9.16e+00]
3300 [9.13e+00]
3400 [9.10e+00]
3500 [9.07e+00]
3600 [9.03e+00]
3700 [9.00e+00]
3800 [8.96e+00]
3900 [8.93e+00]
4000 [8.89e+00]
4100 [8.86e+00]
4200 [8.82e+00]
4300 [8.78e+00]
4400 [8.74e+00]
4500 [8.70e+00]
4600 [8.66e+00]
4700 [8.62e+00]
4800 [8.57e+00]
4900 [8.53e+00]
5000 [8.49e+00]
5100 [8.44e+00]
5200 [8.39e+00]
5300 [8.35e+00]
5400 [8.30e+00]
5500 [8.25e+00]
5600 [8.20e+00]
5700 [8.15e+00]
5800 [8.10e+00]
5900 [8.04e+00]
6000 [7.99e+00]
6100 [7.93e+00]
6200 [7.87e+00]
6300 [7.82e+00]
6400 [7.76e+00]
6500 [7.69e+00]
6600 [7.63e+00]
6700 [7.57e+00]
6800 [7.50e+00]
6900 [7.43e+00]
7000 [7.36e+00]
7100 [7.28e+00]
7200 [7.20e+00]
7300 [7.12e+00]
7400 [7.04e+00]
7500 [6.95e+00]
7600 [6.86e+00]
7700 [6.77e+00]
7800 [6.68e+00]
7900 [6.58e+00]
8000 [6.49e+00]
8100 [6.39e+00]
8200 [6.28e+00]
8300 [6.18e+00]
8400 [6.07e+00]
8500 [5.96e+00]
8600 [5.84e+00]
8700 [5.73e+00]
8800 [5.61e+00]
8900 [5.48e+00]
9000 [5.36e+00]
9100 [5.22e+00]
9200 [5.09e+00]
9300 [4.95e+00]
9400 [4.81e+00]
9500 [4.67e+00]
9600 [4.52e+00]
9700 [4.37e+00]
9800 [4.21e+00]
9900 [4.05e+00]
10000 [3.88e+00]
10000 [3.88e+00]
10100 [3.83e+00]
10200 [3.83e+00]
10300 [3.83e+00]
10400 [3.83e+00]
10500 [3.83e+00]
10600 [3.83e+00]
10700 [3.83e+00]
10800 [3.83e+00]
10900 [3.83e+00]
11000 [3.83e+00]
11100 [3.83e+00]
11200 [3.83e+00]
11300 [3.83e+00]
11400 [3.83e+00]
11500 [3.83e+00]
11600 [3.83e+00]
11700 [3.83e+00]
11800 [3.82e+00]
11900 [3.82e+00]
12000 [3.82e+00]
12100 [3.82e+00]
12200 [3.82e+00]
12300 [3.82e+00]
12400 [3.82e+00]
12500 [3.82e+00]
12600 [3.82e+00]
12700 [3.82e+00]
12800 [3.82e+00]
12900 [3.82e+00]
13000 [3.82e+00]
13100 [3.82e+00]
13200 [3.82e+00]
13300 [3.82e+00]
13400 [3.82e+00]
13500 [3.82e+00]
13600 [3.81e+00]
13700 [3.81e+00]
13800 [3.81e+00]
13900 [3.81e+00]
14000 [3.81e+00]
14100 [3.81e+00]
14200 [3.81e+00]
14300 [3.80e+00]
14400 [3.80e+00]
14500 [3.80e+00]
14600 [3.80e+00]
14700 [3.79e+00]
14800 [3.79e+00]
14900 [3.79e+00]
15000 [3.78e+00]
15100 [3.78e+00]
15200 [3.77e+00]
15300 [3.77e+00]
15400 [3.76e+00]
15500 [3.75e+00]
15600 [3.75e+00]
15700 [3.74e+00]
15800 [3.73e+00]
15900 [3.72e+00]
16000 [3.71e+00]
16100 [3.70e+00]
16200 [3.69e+00]
16300 [3.68e+00]
16400 [3.66e+00]
16500 [3.65e+00]
16600 [3.63e+00]
16700 [3.62e+00]
16800 [3.60e+00]
16900 [3.59e+00]
