t,B1,Bn,Bm
0.010050188126959,0.9195468949980593,1.4474254298539466,1.521833598416536
0.01570341894837344,0.8936775966722076,1.4178519462368409,1.5334354233460101
0.02261292328565775,0.8694861877242079,1.3825967025638422,1.5469802555774437
0.03077870113881194,0.8469991209057571,1.3424496335733953,1.5621364359578496
0.040200752507836,0.826017434841189,1.2982606442055713,1.5785575726849486
0.05087907739272994,0.8062871670491516,1.250888439018437,1.5958988585994895
0.06281367579349376,0.7875626446099113,1.2011637873552483,1.6138307686989437
0.07600454771012743,0.7696264421978868,1.1498631893548017,1.632049585759045
0.090451693142631,0.7522928724552297,1.0976910667360542,1.6502846278757453
0.10615511209100444,0.7354057651305091,1.045269223231252,1.6683023816507758
0.12311480455524776,0.7188348541988778,0.993132364031037,1.685907965210332
0.14133077053536094,0.7024721355566141,0.9417284402131758,1.702944460997946
0.160803010031344,0.6862288885899802,0.8914225689070542,1.719290681759636
0.18153152304319695,0.6700332017115193,0.8425033986010727,1.7348579023956323
0.20351630957091976,0.6538281251711885,0.7951909358070756,1.74958600436875
0.22675736961451246,0.6375701405892307,0.7496450384284261,1.763439403208697
0.251254703173975,0.6212279464728043,0.7059739886896605,1.7764030184284814
0.27700831024930744,0.6047813875634805,0.6642427256463669,1.7884784725249399
0.30401819084050974,0.588220410146406,0.6244804395269712,1.7996806468024835
0.33228434494758197,0.5715440864622878,0.5866874361431754,1.8100346212639562
0.361806772570524,0.5547595604903888,0.5508411416527565,1.8195730511420418
0.39258547370933594,0.5378809805606576,0.5169012925784188,1.8283339464421333
0.42462044836401774,0.5209284038667944,0.4848143336627588,1.8363588346687756
0.4579116965345695,0.5039266780776407,0.4545170640153664,1.8436912810544923
0.49245921822099104,0.486904376166496,0.4259396600872494,1.8503756978182047
0.5282630134232824,0.4698927841309949,0.3990081280403356,1.8564564137604775
0.5653230821414438,0.4529249586222859,0.37364624141983405,1.8619769738494845
0.6036394243754749,0.43603489500307635,0.3497770750681835,1.8669796146891882
0.643212040125376,0.41925680771200763,0.3273241905478242,1.8715048880417389
0.6840409293911469,0.40262452238200436,0.30621252843602587,1.875591406257662
0.7261260921727878,0.3861709807554184,0.2863690756470172,1.8792756779000463
0.7694675284702984,0.3699278391536181,0.2677233200557476,1.8825920277691695
0.814065238283679,0.3539251615145921,0.2502075730421468,1.885572565729784
0.8599192216129294,0.3381911851201898,0.23375715994102458,1.8882472042141505
0.9070294784580498,0.322752150892171,0.21831052174911753,1.8906437060891068
0.95539600881904,0.3076321862536411,0.2038092513248013,1.8927877532144093
1.0050188126959,0.2928532284314353,0.190198059388175,1.8947030378192682
1.0558978900886298,0.278434983617102,0.17742471152744155,1.8964113601044204
1.1080332409972298,0.264394913801747,0.165439935261681,1.8979327324157573
1.1614248654216996,0.25074824633578796,0.15419730581618366,1.8992854869513394
1.216072763362039,0.237508002266331,0.14365311605060702,1.900486385106355
1.2719769348182481,0.2246850408118011,0.13376625144953785,1.9015507202522615
1.3291373797903279,0.21228811652191712,0.12449804007922702,1.9024924262260148
1.3875540982782772,0.20032394825471456,0.11581212034599757,1.9033241750951524
1.447227090282096,0.18879729752594201,0.10767430334049793,1.9040574732914408
1.5081563558017848,0.17771105504488885,0.10005244035505065,1.9047027523340858
