t,B1,Bn,Bm
0.0,1.0,1.0,1.0
0.0002550760126517702,0.9999757300522252,1.0000051102502487,0.9999983871564226
0.001020304050607081,0.9999029847368751,1.0000204355720537,0.9999935486502977
0.002295684113865932,0.9997819572083895,1.0000459597144054,0.9999854845554327
0.004081216202428324,0.9996129678176064,1.0000816557234868,0.999974194994793
0.006376900316294257,0.999396461880523,1.000127486128747,0.9999596801404337
0.009182736455463728,0.9991330066897389,1.0001834031921308,0.9999419402134078
0.012498724619936742,0.9988232875001555,1.0002493492428535,0.9999209754836432
0.016324864809713294,0.9984681029561506,1.0003252570587555,0.9998967862698009
0.020661157024793386,0.9980683597307594,1.000411050313376,0.9998693729391065
0.025507601265177027,0.9976250662563938,1.000506644098787,0.9998387359071551
0.0308641975308642,0.9971393264246539,1.0006119454510218,0.9998048756377066
0.03673094582185491,0.9966123327476947,1.0007268539204144,0.9997677926424605
0.04310784613814917,0.9960453592504863,1.0008512621643941,0.999727487480817
0.04999489847974697,0.99543975291856,1.0009850566607215,0.9996839607596046
0.05739210284664831,0.9947969257269073,1.0011281183722935,0.9996372131328096
0.06529945923885318,0.9941183491365692,1.0012803232062475,0.9995872453013344
0.07371696765636161,0.9934055460484781,1.0014415426850547,0.9995340580127101
0.08264462809917354,0.9926600788939802,1.00161164493971,0.9994776520607331
0.09208244056728905,0.9918835418594395,1.0017904953582843,0.9994180282851665
0.10203040506070811,0.9910775592114969,1.001977956725885,0.9993551875715416
0.11248852157943066,0.9902437738845893,1.0021738901764436,0.9992891308507892
0.1234567901234568,0.9893838373695744,1.002378156036033,0.99921985909889
0.13493521069278647,0.9884994112597537,1.0025906136943576,0.9991473733367146
0.14692378328741965,0.9875921503699603,1.0028111230124472,0.9990716746295514
0.1594225079073564,0.98666370625584,1.0030395440296378,0.998992764086982
0.17243138455259668,0.9857157176079752,1.00327573776477,0.9989106428625298
0.18595041322314051,0.9847498016323519,1.0035195669351686,0.9988253121533212
0.19997959391898787,0.9837675558378799,1.0037708958079827,0.998736773199937
0.21451892664013877,0.9827705507670226,1.004029590806595,0.9986450272861024
0.22956841138659323,0.9817603272147085,1.0042955207428756,0.998550075738441
0.24512804815835118,0.980738386385208,1.0045685576381198,0.99845191992614
0.2611978369554127,0.9797061882856105,1.0048485768573445,0.9983505612607431
0.2777777777777778,0.9786651653480383,1.0051354559739878,0.9982460011962099
0.29486787062544645,0.9776167015432933,1.0054290765114955,0.9981382412283919
0.31246811549841863,0.9765621375282879,1.0057293235145506,0.9980272828949444
0.33057851239669417,0.9755027694979157,1.0060360856451214,0.9979131277751431
0.34919906132027345,0.9744398453021141,1.006349255506478,0.997795777489669
0.3683297622691562,0.9733745674560352,1.006668729392553,0.9976752337005061
0.38797061524334253,0.9723080887469383,1.0069944076544863,0.9975514981107192
0.40812162024283244,0.9712415152040781,1.0073261944533134,0.9974245724643662
0.4287827772676258,0.9701759037468539,1.0076639979563111,0.9972944585463224
0.44995408631772266,0.9691122651778988,1.0080077300877395,0.9971611581822003
0.47163554739312313,0.9680515607913063,1.0083573068118599,0.9970246732381677
0.4938271604938272,0.966994700749418,1.0087126482685045,0.9968850056207996
0.5165289256198348,0.9659425553952816,1.009073677830189,0.9967421572771717
0.5397408427711459,0.9648959469367269,1.0094403227956374,0.9965961301945983
0.5634629119477605,0.9638556494093506,1.0098125143930783,0.9964469264005293
0.5876951331496786,0.9628223988643436,1.0101901869310779,0.9962945479626439
0.6124375063769003,0.9617968839528725,1.0105732785837305,0.9961389969885756
0.6376900316294256,0.9607797526789128,1.0109617308278396,0.9959802756259558
0.6634527089072544,0.9597716145638271,1.0113554882626283,0.9958183860623726
0.6897255382103867,0.9587730361526253,1.01175449898457,0.9956533305251963
0.7165085195388227,0.9577845498470092,1.0121587138510844,0.9954851112816907
0.7438016528925621,0.9568066483815905,1.0125680869412506,0.9953137306388181
0.7716049382716049,0.9558397905223773,1.0129825750808255,0.9951391909432955
0.7999183756759515,0.9548844006162779,1.0134021378799503,0.9949614945815152
0.8287419651056015,0.9539408703467755,1.0138267375868948,0.9947806439795233
0.8580757065605551,0.9530095611335582,1.0142563388881083,0.9945966416030116
0.8879196000408123,0.9520907983293221,1.0146909093922185,0.9944094899571232
0.9182736455463729,0.9511848828967646,1.0151304186564978,0.9942191915866787
0.9491378430772369,0.9502920893694412,1.015574838357007,0.9940257490760732
0.9805121926334047,0.9494126605336335,1.0160241427321441,0.9938291650490947
1.0123966942148763,0.948546818977977,1.0164783076197044,0.9936294421691613
1.0447913478216508,0.9476947600500573,1.0169373110442903,0.9934265831390959
1.077696153453729,0.9468566549393043,1.0174011329603372,0.9932205907011628
1.1111111111111112,0.9460326562651126,1.017869754786235,0.9930114676371709
1.1450362207937965,0.9452228914120243,1.0183431599601838,0.9927992167682518
1.1794714825017858,0.9444274708367169,1.018821333247567,0.9925838409550509
1.214416896235078,0.9436464842909723,1.0193042610560077,0.9923653430975797
1.2498724619936745,0.9428800032364439,1.0197919312340815,0.9921437261352474
1.2858381797775738,0.9421280832350007,1.0202843328720668,0.9919189930468917
1.3223140495867767,0.9413907618492132,1.0207814564771063,0.9916911468506822
1.3593000714212837,0.9406680641639108,1.0212832935128215,0.9914601906042508
1.3967962452810938,0.9399599960864021,1.0217898369581238,0.9912261274044494
1.4348025711662078,0.9392665486310191,1.0223010809499722,0.9909889603874509
1.4733190490766248,0.9385877066029215,1.0228170200592377,0.9907486927289945
1.5123456790123455,0.93792343669935,1.0233376502831142,0.990505327643968
