26950 [1.22e-01, 5.97e-02, 9.35e-01, 5.32e-01]
27300 [1.22e-01, 5.97e-02, 9.39e-01, 5.34e-01]
27650 [1.22e-01, 5.98e-02, 9.44e-01, 5.37e-01]
28000 [1.22e-01, 5.97e-02, 9.47e-01, 5.39e-01]
28350 [1.22e-01, 5.99e-02, 9.51e-01, 5.41e-01]
28700 [1.22e-01, 5.99e-02, 9.55e-01, 5.43e-01]
29050 [1.22e-01, 5.98e-02, 9.58e-01, 5.45e-01]
29400 [1.22e-01, 6.00e-02, 9.62e-01, 5.47e-01]
29750 [1.22e-01, 6.00e-02, 9.66e-01, 5.50e-01]
30100 [1.22e-01, 6.00e-02, 9.69e-01, 5.51e-01]
30450 [1.22e-01, 6.00e-02, 9.72e-01, 5.53e-01]
30800 [1.22e-01, 6.01e-02, 9.75e-01, 5.55e-01]
31150 [1.22e-01, 5.99e-02, 9.78e-01, 5.56e-01]
31500 [1.22e-01, 6.02e-02, 9.77e-01, 5.55e-01]
31850 [1.22e-01, 6.01e-02, 9.80e-01, 5.57e-01]
32200 [1.22e-01, 6.04e-02, 9.83e-01, 5.59e-01]
32550 [1.22e-01, 6.03e-02, 9.88e-01, 5.62e-01]
32900 [1.22e-01, 6.05e-02, 9.91e-01, 5.63e-01]
33250 [1.22e-01, 6.04e-02, 9.94e-01, 5.65e-01]
33600 [1.22e-01, 6.05e-02, 9.97e-01, 5.67e-01]
33950 [1.22e-01, 6.03e-02, 1.00e+00, 5.68e-01]
34300 [1.22e-01, 6.02e-02, 1.00e+00, 5.70e-01]
34650 [1.22e-01, 6.03e-02, 1.01e+00, 5.71e-01]
35000 [1.22e-01, 6.04e-02, 1.01e+00, 5.73e-01]
