0 [0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00]
5000 [2.55e-24, 4.59e-02, 2.06e-26, 2.05e-02, 1.85e-27, 9.78e-25, 1.07e-32, 6.77e-22, 8.44e-24, 1.55e-24, 9.46e-22, 1.49e-24]
10000 [6.43e-23, 4.59e-02, 5.34e-25, 2.05e-02, 4.85e-26, 2.41e-23, 3.03e-31, 1.66e-20, 7.07e-23, 1.29e-23, 7.98e-21, 1.24e-23]
15000 [8.18e-22, 4.59e-02, 6.80e-24, 2.05e-02, 6.17e-25, 3.06e-22, 3.87e-30, 2.11e-19, 8.30e-22, 1.52e-22, 9.38e-20, 1.46e-22]
20000 [1.00e-20, 4.59e-02, 8.33e-23, 2.05e-02, 7.55e-24, 3.75e-21, 4.74e-29, 2.58e-18, 1.01e-20, 1.85e-21, 1.14e-18, 1.77e-21]
25000 [1.22e-19, 4.59e-02, 1.02e-21, 2.05e-02, 9.22e-23, 4.58e-20, 5.78e-28, 3.15e-17, 1.23e-19, 2.25e-20, 1.39e-17, 2.16e-20]
30000 [1.49e-18, 4.59e-02, 1.24e-20, 2.05e-02, 1.12e-21, 5.58e-19, 7.05e-27, 3.85e-16, 1.50e-18, 2.75e-19, 1.70e-16, 2.63e-19]
35000 [1.82e-17, 4.59e-02, 1.51e-19, 2.05e-02, 1.37e-20, 6.81e-18, 8.60e-26, 4.69e-15, 1.83e-17, 3.35e-18, 2.07e-15, 3.21e-18]
40000 [2.22e-16, 4.59e-02, 1.84e-18, 2.05e-02, 1.67e-19, 8.30e-17, 1.05e-24, 5.72e-14, 2.23e-16, 4.09e-17, 2.52e-14, 3.92e-17]
45000 [2.70e-15, 4.59e-02, 2.25e-17, 2.05e-02, 2.04e-18, 1.01e-15, 1.28e-23, 6.98e-13, 2.72e-15, 4.98e-16, 3.08e-13, 4.78e-16]
50000 [3.30e-14, 4.59e-02, 2.74e-16, 2.05e-02, 2.49e-17, 1.24e-14, 1.56e-22, 8.49e-12, 3.32e-14, 6.05e-15, 3.75e-12, 5.80e-15]
55000 [4.02e-13, 4.59e-02, 3.35e-15, 2.05e-02, 3.03e-16, 1.51e-13, 1.90e-21, 1.01e-10, 4.05e-13, 6.96e-14, 4.57e-11, 6.68e-14]
60000 [4.89e-12, 4.59e-02, 4.07e-14, 2.05e-02, 3.69e-15, 1.83e-12, 2.32e-20, 7.94e-10, 4.94e-12, 2.32e-13, 5.46e-10, 2.21e-13]
65000 [5.80e-11, 4.59e-02, 4.82e-13, 2.05e-02, 4.38e-14, 2.20e-11, 2.74e-19, 2.83e-11, 5.96e-11, 1.56e-07, 5.19e-09, 1.41e-07]
70000 [5.57e-10, 4.59e-02, 4.62e-12, 2.05e-02, 4.20e-13, 2.54e-10, 2.63e-18, 2.57e-09, 6.39e-10, 2.44e-05, 8.64e-09, 1.39e-05]
75000 [4.82e-09, 4.59e-02, 3.99e-11, 2.04e-02, 3.63e-12, 6.47e-09, 2.28e-17, 6.35e-08, 1.89e-09, 8.68e-04, 3.93e-08, 3.94e-04]
80000 [4.88e-08, 4.57e-02, 4.06e-10, 1.95e-02, 3.69e-11, 8.04e-08, 2.32e-16, 6.89e-07, 2.47e-08, 1.98e-03, 2.99e-08, 1.92e-03]
85000 [4.91e-07, 4.38e-02, 4.08e-09, 1.05e-02, 3.72e-10, 6.87e-07, 2.33e-15, 5.88e-06, 1.40e-07, 1.96e-03, 3.92e-04, 1.02e-03]
90000 [2.16e-06, 3.63e-02, 1.79e-08, 4.03e-06, 1.63e-09, 1.61e-06, 1.03e-14, 1.38e-05, 4.50e-06, 1.40e-03, 2.39e-03, 3.60e-10]
95000 [2.94e-06, 3.27e-02, 2.44e-08, 9.19e-08, 2.19e-09, 3.92e-05, 1.40e-14, 4.71e-07, 7.77e-06, 9.97e-04, 2.51e-03, 3.94e-06]
100000 [3.20e-06, 3.12e-02, 2.66e-08, 1.31e-06, 2.12e-09, 7.14e-04, 1.52e-14, 3.18e-06, 2.25e-07, 8.19e-04, 3.18e-03, 1.55e-04]
105000 [3.39e-06, 2.20e-02, 2.82e-08, 3.15e-04, 1.84e-09, 1.09e-03, 1.61e-14, 4.31e-04, 1.82e-07, 2.01e-04, 2.58e-03, 2.38e-05]
110000 [3.34e-08, 1.59e-04, 8.25e-09, 1.64e-06, 1.21e-11, 9.17e-05, 5.12e-15, 1.79e-04, 4.65e-02, 1.53e-03, 8.16e-04, 2.00e-05]
115000 [2.00e-04, 6.69e-01, 2.05e-04, 7.33e-01, 1.72e-04, 7.33e-01, 1.66e-08, 7.32e-01, 6.25e-04, 7.91e-01, 2.01e-03, 6.43e-01]
120000 [1.89e-04, 7.38e-01, 2.78e-05, 8.07e-01, 1.07e-05, 8.07e-01, 6.61e-09, 8.07e-01, 1.54e-03, 8.49e-01, 3.93e-03, 7.18e-01]
125000 [4.18e-03, 6.32e-01, 6.28e-04, 6.57e-01, 2.42e-04, 6.56e-01, 1.56e-07, 6.60e-01, 2.18e-02, 5.89e-01, 7.45e-03, 7.14e-01]
130000 [1.39e-02, 1.05e+00, 2.13e-03, 4.74e-01, 8.24e-04, 4.64e-01, 5.31e-07, 4.66e-01, 3.81e-04, 1.54e-04, 3.60e-02, 5.97e-01]
135000 [1.55e-02, 1.14e+00, 2.49e-03, 4.64e-01, 9.66e-04, 4.51e-01, 6.24e-07, 4.50e-01, 4.13e-05, 5.38e-05, 5.22e-02, 2.92e-01]
